Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Somalia,SOM,2021,Number of infant deaths,SH.DTH.IMRT,51736
Somalia,SOM,2020,Number of infant deaths,SH.DTH.IMRT,51809
Somalia,SOM,2019,Number of infant deaths,SH.DTH.IMRT,51951
Somalia,SOM,2018,Number of infant deaths,SH.DTH.IMRT,52059
Somalia,SOM,2017,Number of infant deaths,SH.DTH.IMRT,51992
Somalia,SOM,2016,Number of infant deaths,SH.DTH.IMRT,52112
Somalia,SOM,2015,Number of infant deaths,SH.DTH.IMRT,52125
Somalia,SOM,2014,Number of infant deaths,SH.DTH.IMRT,52059
Somalia,SOM,2013,Number of infant deaths,SH.DTH.IMRT,52108
Somalia,SOM,2012,Number of infant deaths,SH.DTH.IMRT,52890
Somalia,SOM,2011,Number of infant deaths,SH.DTH.IMRT,53681
Somalia,SOM,2010,Number of infant deaths,SH.DTH.IMRT,54033
Somalia,SOM,2009,Number of infant deaths,SH.DTH.IMRT,54418
Somalia,SOM,2008,Number of infant deaths,SH.DTH.IMRT,54392
Somalia,SOM,2007,Number of infant deaths,SH.DTH.IMRT,54021
Somalia,SOM,2006,Number of infant deaths,SH.DTH.IMRT,53265
Somalia,SOM,2005,Number of infant deaths,SH.DTH.IMRT,51899
Somalia,SOM,2004,Number of infant deaths,SH.DTH.IMRT,50325
Somalia,SOM,2003,Number of infant deaths,SH.DTH.IMRT,48763
Somalia,SOM,2002,Number of infant deaths,SH.DTH.IMRT,47141
Somalia,SOM,2001,Number of infant deaths,SH.DTH.IMRT,45422
Somalia,SOM,2000,Number of infant deaths,SH.DTH.IMRT,43820
Somalia,SOM,1999,Number of infant deaths,SH.DTH.IMRT,42237
Somalia,SOM,1998,Number of infant deaths,SH.DTH.IMRT,40659
Somalia,SOM,1997,Number of infant deaths,SH.DTH.IMRT,39243
Somalia,SOM,1996,Number of infant deaths,SH.DTH.IMRT,37800
Somalia,SOM,1995,Number of infant deaths,SH.DTH.IMRT,36532
Somalia,SOM,1994,Number of infant deaths,SH.DTH.IMRT,34897
Somalia,SOM,1993,Number of infant deaths,SH.DTH.IMRT,33665
Somalia,SOM,1992,Number of infant deaths,SH.DTH.IMRT,34759
Somalia,SOM,1991,Number of infant deaths,SH.DTH.IMRT,36345
Somalia,SOM,1990,Number of infant deaths,SH.DTH.IMRT,37359
Somalia,SOM,1989,Number of infant deaths,SH.DTH.IMRT,38634
Somalia,SOM,1988,Number of infant deaths,SH.DTH.IMRT,39088
Somalia,SOM,1987,Number of infant deaths,SH.DTH.IMRT,38096
Somalia,SOM,1986,Number of infant deaths,SH.DTH.IMRT,36735
Somalia,SOM,1985,Number of infant deaths,SH.DTH.IMRT,35494
Somalia,SOM,2021,Number of under-five deaths,SH.DTH.MORT,79723
Somalia,SOM,2020,Number of under-five deaths,SH.DTH.MORT,79977
Somalia,SOM,2019,Number of under-five deaths,SH.DTH.MORT,80448
Somalia,SOM,2018,Number of under-five deaths,SH.DTH.MORT,80885
Somalia,SOM,2017,Number of under-five deaths,SH.DTH.MORT,81007
Somalia,SOM,2016,Number of under-five deaths,SH.DTH.MORT,81557
Somalia,SOM,2015,Number of under-five deaths,SH.DTH.MORT,82063
Somalia,SOM,2014,Number of under-five deaths,SH.DTH.MORT,82601
Somalia,SOM,2013,Number of under-five deaths,SH.DTH.MORT,83348
Somalia,SOM,2012,Number of under-five deaths,SH.DTH.MORT,84758
Somalia,SOM,2011,Number of under-five deaths,SH.DTH.MORT,85992
Somalia,SOM,2010,Number of under-five deaths,SH.DTH.MORT,86817
Somalia,SOM,2009,Number of under-five deaths,SH.DTH.MORT,87562
Somalia,SOM,2008,Number of under-five deaths,SH.DTH.MORT,87756
Somalia,SOM,2007,Number of under-five deaths,SH.DTH.MORT,87348
Somalia,SOM,2006,Number of under-five deaths,SH.DTH.MORT,86080
Somalia,SOM,2005,Number of under-five deaths,SH.DTH.MORT,83778
Somalia,SOM,2004,Number of under-five deaths,SH.DTH.MORT,81140
Somalia,SOM,2003,Number of under-five deaths,SH.DTH.MORT,78492
Somalia,SOM,2002,Number of under-five deaths,SH.DTH.MORT,75792
Somalia,SOM,2001,Number of under-five deaths,SH.DTH.MORT,73044
Somalia,SOM,2000,Number of under-five deaths,SH.DTH.MORT,70440
Somalia,SOM,1999,Number of under-five deaths,SH.DTH.MORT,67907
Somalia,SOM,1998,Number of under-five deaths,SH.DTH.MORT,65370
Somalia,SOM,1997,Number of under-five deaths,SH.DTH.MORT,63021
Somalia,SOM,1996,Number of under-five deaths,SH.DTH.MORT,61027
Somalia,SOM,1995,Number of under-five deaths,SH.DTH.MORT,59592
Somalia,SOM,1994,Number of under-five deaths,SH.DTH.MORT,58110
Somalia,SOM,1993,Number of under-five deaths,SH.DTH.MORT,57377
Somalia,SOM,1992,Number of under-five deaths,SH.DTH.MORT,58936
Somalia,SOM,1991,Number of under-five deaths,SH.DTH.MORT,60854
Somalia,SOM,1990,Number of under-five deaths,SH.DTH.MORT,62143
Somalia,SOM,1989,Number of under-five deaths,SH.DTH.MORT,63210
Somalia,SOM,2021,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,111.8
Somalia,SOM,2020,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,114.9
Somalia,SOM,2019,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,118.6
Somalia,SOM,2018,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,122.5
Somalia,SOM,2017,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,126.1
Somalia,SOM,2016,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,130.3
Somalia,SOM,2015,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,134.5
Somalia,SOM,2014,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,138.9
Somalia,SOM,2013,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,143.4
Somalia,SOM,2012,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,148.1
Somalia,SOM,2011,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,152.7
Somalia,SOM,2010,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,157.5
Somalia,SOM,2009,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,162.2
Somalia,SOM,2008,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,166.6
Somalia,SOM,2007,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,170.2
Somalia,SOM,2006,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.3
Somalia,SOM,2005,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.8
Somalia,SOM,2004,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,2003,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,2002,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,2001,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,2000,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1999,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1998,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1997,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1996,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1995,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1994,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,172.9
Somalia,SOM,1993,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,173.1
Somalia,SOM,1992,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,174.1
Somalia,SOM,1991,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,176.6
Somalia,SOM,1990,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,180.4
